region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
  Усть-Алданский улус - сельское население;22372;10820;11552;48,4;51,6
      с. Борогонцы (рц);5458;2484;2974;45,5;54,5
      прочие сельские населенные пункты;16914;8336;8578;49,3;50,7
  Усть-Майский улус ;11568;6020;5548;52;48
    Городское население;8740;4578;4162;52,4;47,6
      пгт Усть-Мая (рц);3165;1571;1594;49,6;50,4
      пгт Аллах-Юнь;306;188;118;61,4;38,6
      пгт Бриндакит;15;11;4;73,3;26,7
      пгт Звездочка;566;422;144;74,6;25,4
      пгт Солнечный;1272;649;623;51;49
      пгт Ыныкчан;392;191;201;48,7;51,3
      пгт Эльдикан;2119;1062;1057;50,1;49,9
      пгт Югоренок;905;484;421;53,5;46,5
    Сельское население;2828;1442;1386;51;49
  Усть-Янский улус ;10009;5197;4812;51,9;48,1
    Городское население;5948;3128;2820;52,6;47,4
      пгт Депутатский (рц);3602;1829;1773;50,8;49,2
      пгт Нижнеянск;701;374;327;53,4;46,6
      пгт Северный;77;63;14;81,8;18,2
      пгт Усть-Куйга;1568;862;706;55;45
    Сельское население;4061;2069;1992;50,9;49,1
  Хангаласский улус ;25109;13560;11549;54;46
    Городское население - пгт Мохсоголлох;7181;4228;2953;58,9;41,1
    Сельское население;17928;9332;8596;52,1;47,9
  Чурапчинский улус - сельское население;19466;9633;9833;49,5;50,5
      с. Чурапча (рц);7526;3633;3893;48,3;51,7
      прочие сельские населенные пункты;11940;6000;5940;50,3;49,7
  Эвено-Бытантайский национальный улус - сельское население;2761;1385;1376;50,2;49,8
      с. Батагай-Алыта (рц);1722;861;861;50;50
      прочие сельские населенные пункты;1039;524;515;50,4;49,6
Приморский край;2071210;1002723;1068487;48,4;51,6
    Городское население;1621977;776824;845153;47,9;52,1
    Сельское население;449233;225899;223334;50,3;49,7
  г. Владивосток с подчиненными его администрации населенными пунктами;620689;291968;328721;47;53
    Городское население;620156;291708;328448;47;53
      г. Владивосток;594701;279568;315133;47;53
          городские районы;;;;;
        Ленинский ;151532;70452;81080;46,5;53,5
        Первомайский ;153051;72165;80886;47,2;52,8
        Первореченский ;138266;65134;73132;47,1;52,9
        Советский;93514;43693;49821;46,7;53,3
        Фрунзенский ;58338;28124;30214;48,2;51,8
      пгт Попова;1316;648;668;49,2;50,8
      пгт Русский;5204;2574;2630;49,5;50,5
      пгт Трудовое;18935;8918;10017;47,1;52,9
    Сельское население;533;260;273;48,8;51,2
  г. Арсеньев;62896;29101;33795;46,3;53,7
  г. Артем с подчиненными его администрации населенными пунктами;110963;53306;57657;48;52
    Городское население;101833;48880;52953;48;52
      г. Артем;64145;29377;34768;45,8;54,2
      пгт Артемовский;9728;4665;5063;48;52
      пгт Заводской;15228;8735;6493;57,4;42,6
      пгт Угловое;12732;6103;6629;47,9;52,1
    Сельское население;9130;4426;4704;48,5;51,5
      с. Кневичи;4717;2328;2389;49,4;50,6
      прочие сельские населенные пункты;4413;2098;2315;47,5;52,5
  г. Большой Камень с подчиненными его администрации населенными пунктами;39356;19297;20059;49;51
    Городское население - г. Большой Камень;38394;18817;19577;49;51
    Сельское население;962;480;482;49,9;50,1
  г. Дальнегорск с подчиненными его администрации населенными пунктами;50271;23351;26920;46,5;53,5
    Городское население;48118;22329;25789;46,4;53,6
      г. Дальнегорск;40069;18471;21598;46,1;53,9
      пгт Каменка;1734;840;894;48,4;51,6
      пгт Краснореченский;3926;1879;2047;47,9;52,1
      пгт Рудная Пристань;2389;1139;1250;47,7;52,3
    Сельское население;2153;1022;1131;47,5;52,5
  г. Дальнереченск с подчиненными его администрации населенными пунктами;34671;16959;17712;48,9;51,1
    Городское население - г. Дальнереченск;30092;14611;15481;48,6;51,4
    Сельское население;4579;2348;2231;51,3;48,7
      с. Лазо;3319;1650;1669;49,7;50,3
      прочие сельские населенные пункты;1260;698;562;55,4;44,6
  г. Лесозаводск;42185;19956;22229;47,3;52,7
  г. Находка с подчиненными его администрации населенными пунктами;178813;87616;91197;49;51
    Городское население;177133;86786;90347;49;51
      г. Находка;148826;72853;75973;49;51
      пгт Врангель;15346;7622;7724;49,7;50,3
      пгт Ливадия;12961;6311;6650;48,7;51,3
    Сельское население;1680;830;850;49,4;50,6
  г. Партизанск с подчиненными его администрации населенными пунктами;53061;24939;28122;47;53
    Городское население;50289;23523;26766;46,8;53,2
      г. Партизанск;43670;20385;23285;46,7;53,3
      пгт Углекаменск;6619;3138;3481;47,4;52,6
    Сельское население;2772;1416;1356;51,1;48,9
  г. Спасск-Дальний;51691;24654;27037;47,7;52,3
  г. Уссурийск;157759;76744;81015;48,6;51,4
  г. Фокино с подчиненными его администрации населенными пунктами - городское население;36189;19277;16912;53,3;46,7
      г. Фокино;26457;14396;12061;54,4;45,6
      пгт Дунай;8599;4323;4276;50,3;49,7
      пгт Путятин;1133;558;575;49,2;50,8
  Анучинский район - сельское население;16010;7896;8114;49,3;50,7
      с. Анучино (рц);4772;2281;2491;47,8;52,2
      прочие сельские населенные пункты;11238;5615;5623;50;50
  Дальнереченский район - сельское население;13995;6869;7126;49,1;50,9
  Кавалеровский район ;29488;13958;15530;47,3;52,7
    Городское население;27618;13040;14578;47,2;52,8
      пгт Кавалерово (рц);17358;8139;9219;46,9;53,1
      пгт Высокогорск;474;223;251;47;53
      пгт Горнореченский;3492;1686;1806;48,3;51,7
      пгт Рудный;2630;1281;1349;48,7;51,3
      пгт Хрустальный;3664;1711;1953;46,7;53,3
    Сельское население;1870;918;952;49,1;50,9
  Кировский район ;24618;11775;12843;47,8;52,2
    Городское население;15189;7119;8070;46,9;53,1
      пгт Кировский (рц);9698;4628;5070;47,7;52,3
      пгт Горные Ключи ;5272;2391;2881;45,4;54,6
      пгт Горный;219;100;119;45,7;54,3
    Сельское население;9429;4656;4773;49,4;50,6
  Красноармейский район ;20820;10312;10508;49,5;50,5
    Городское население - пгт Восток;3536;1708;1828;48,3;51,7
    Сельское население;17284;8604;8680;49,8;50,2
      с. Новопокровка (рц);4042;1975;2067;48,9;51,1
