region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
Дивеевский район - сельское население;16618;7272;9346;43,8;56,2
село Дивеево (рц);6408;2729;3679;42,6;57,4
прочие сельские населенные пункты;10210;4543;5667;44,5;55,5
Княгининский район;11922;5486;6436;46;54
Городское население - г. Княгинино (рц);6708;3065;3643;45,7;54,3
Сельское население;5214;2421;2793;46,4;53,6
Ковернинский район;19951;9396;10555;47,1;52,9
Городское население - пгт Ковернино (рц);6892;3160;3732;45,9;54,1
Сельское население;13059;6236;6823;47,8;52,2
Краснобаковский район;22524;11510;11014;51,1;48,9
Городское население;12545;5689;6856;45,3;54,7
пгт Красные Баки (рц);7295;3355;3940;46;54
пгт Ветлужский;5250;2334;2916;44,5;55,5
Сельское население;9979;5821;4158;58,3;41,7
посёлок Пруды;3274;2638;636;80,6;19,4
прочие сельские населенные пункты;6705;3183;3522;47,5;52,5
Краснооктябрьский район - сельское население;11729;5514;6215;47;53
село Уразовка (рц);1626;733;893;45,1;54,9
прочие сельские населенные пункты;10103;4781;5322;47,3;52,7
Кстовский район;112823;51440;61383;45,6;54,4
Городское население - г. Кстово (рц);66657;30344;36313;45,5;54,5
Сельское население;46166;21096;25070;45,7;54,3
деревня Афонино;3360;1536;1824;45,7;54,3
посёлок Ждановский;5336;2381;2955;44,6;55,4
прочие сельские населенные пункты;37470;17179;20291;45,8;54,2
Кулебакский район;52377;24079;28298;46;54
Городское население;42041;19058;22983;45,3;54,7
г. Кулебаки (рц);35759;16060;19699;44,9;55,1
пгт Велетьма;1020;483;537;47,4;52,6
пгт Гремячево;5262;2515;2747;47,8;52,2
Сельское население;10336;5021;5315;48,6;51,4
Лукояновский район;32384;15472;16912;47,8;52,2
Городское население;17711;8805;8906;49,7;50,3
г. Лукоянов (рц);14951;7550;7401;50,5;49,5
пгт им. Степана Разина;2760;1255;1505;45,5;54,5
Сельское население;14673;6667;8006;45,4;54,6
Лысковский район;39964;18807;21157;47,1;52,9
Городское население - г. Лысково (рц);21880;9755;12125;44,6;55,4
Сельское население;18084;9052;9032;50,1;49,9
Навашинский район;24296;11045;13251;45,5;54,5
Городское население;17404;7901;9503;45,4;54,6
г. Навашино (рц);16416;7471;8945;45,5;54,5
пгт Теша;988;430;558;43,5;56,5
Сельское население;6892;3144;3748;45,6;54,4
Павловский район;100960;45188;55772;44,8;55,2
Городское население;81896;36526;45370;44,6;55,4
г. Павлово (рц);60698;27000;33698;44,5;55,5
г. Ворсма;11620;5166;6454;44,5;55,5
г. Горбатов;2278;1005;1273;44,1;55,9
пгт Тумботино;7300;3355;3945;46;54
Сельское население;19064;8662;10402;45,4;54,6
село Таремское;3074;1400;1674;45,5;54,5
прочие сельские населенные пункты;15990;7262;8728;45,4;54,6
Первомайский район;20455;9279;11176;45,4;54,6
Городское население;16208;7332;8876;45,2;54,8
г. Первомайск (рц);14568;6598;7970;45,3;54,7
пгт Сатис;1640;734;906;44,8;55,2
Сельское население;4247;1947;2300;45,8;54,2
Перевозский район;16519;7680;8839;46,5;53,5
Городское население - г. Перевоз (рц);9201;4296;4905;46,7;53,3
Сельское население;7318;3384;3934;46,2;53,8
Пильнинский район;21960;9988;11972;45,5;54,5
Городское население - пгт Пильна (рц);7333;3338;3995;45,5;54,5
Сельское население;14627;6650;7977;45,5;54,5
Починковский район - сельское население;30668;13754;16914;44,8;55,2
село Починки (рц);11891;5487;6404;46,1;53,9
прочие сельские населенные пункты;18777;8267;10510;44;56
Семеновский район;49152;23583;25569;48;52
Городское население;30849;15296;15553;49,6;50,4
г. Семенов (рц);24473;10984;13489;44,9;55,1
пгт Сухобезводное;6376;4312;2064;67,6;32,4
Сельское население;18303;8287;10016;45,3;54,7
Сергачский район;31296;14033;17263;44,8;55,2
Городское население - г. Сергач (рц);21386;9572;11814;44,8;55,2
Сельское население;9910;4461;5449;45;55
Сеченовский район - сельское население;15446;7043;8403;45,6;54,4
село Сеченово (рц);5263;2434;2829;46,2;53,8
прочие сельские населенные пункты;10183;4609;5574;45,3;54,7
Сокольский район;14139;6532;7607;46,2;53,8
Городское население - пгт Сокольское (рц);6344;2844;3500;44,8;55,2
Сельское население;7795;3688;4107;47,3;52,7
Сосновский район;19546;8900;10646;45,5;54,5
Городское население - пгт Сосновское (рц);8746;3966;4780;45,3;54,7
Сельское население;10800;4934;5866;45,7;54,3
Спасский район - сельское население;10998;4910;6088;44,6;55,4
село Спасское (рц);3947;1788;2159;45,3;54,7
прочие сельские населенные пункты;7051;3122;3929;44,3;55,7
Тонкинский район;9007;4239;4768;47,1;52,9
Городское население - пгт Тонкино (рц);5103;2360;2743;46,2;53,8
Сельское население;3904;1879;2025;48,1;51,9
Тоншаевский район;20219;11566;8653;57,2;42,8
Городское население;9891;4544;5347;45,9;54,1
пгт Тоншаево (рц);4570;2121;2449;46,4;53,6
пгт Пижма;4309;1977;2332;45,9;54,1
пгт Шайгино;1012;446;566;44,1;55,9
Сельское население;10328;7022;3306;68;32
посёлок Буреполом;3233;2551;682;78,9;21,1
прочие сельские населенные пункты;7095;4471;2624;63;37
Уренский район;30106;14075;16031;46,8;53,2
Городское население;17319;8074;9245;46,6;53,4
г. Урень (рц);12304;5703;6601;46,4;53,6
пгт Арья;5015;2371;2644;47,3;52,7
Сельское население;12787;6001;6786;46,9;53,1
Чкаловский район;21963;9855;12108;44,9;55,1
Городское население;13942;6217;7725;44,6;55,4
г. Чкаловск (рц);12368;5503;6865;44,5;55,5
пгт Катунки;806;353;453;43,8;56,2
пгт Чистое;768;361;407;47;53
Сельское население;8021;3638;4383;45,4;54,6
Шарангский район;12450;5870;6580;47,1;52,9
Городское население - пгт Шаранга (рц);6557;3046;3511;46,5;53,5
Сельское население;5893;2824;3069;47,9;52,1
Шатковский район;27018;11882;15136;44;56
Городское население;10667;4800;5867;45;55
пгт Шатки (рц);9652;4351;5301;45,1;54,9
пгт Лесогорск;1015;449;566;44,2;55,8
Сельское население;16351;7082;9269;43,3;56,7
Шахунский район;39625;18004;21621;45,4;54,6
Городское население;31419;14142;17277;45;55
г. Шахунья (рц);20921;9451;11470;45,2;54,8
пгт Вахтан;5769;2582;3187;44,8;55,2
пгт Сява;4729;2109;2620;44,6;55,4
Сельское население;8206;3862;4344;47,1;52,9
Оренбургская область;2033072;945194;1087878;46,5;53,5
Городское население;1213937;554935;659002;45,7;54,3
Сельское население;819135;390259;428876;47,6;52,4
г. Оренбург с подчинёнными его администрации населёнными пунктами;563876;257258;306618;45,6;54,4
Городское население - г. Оренбург;548331;249970;298361;45,6;54,4
  внутригородские районы;;;;;
  Дзержинский;157108;70536;86572;44,9;55,1
  Ленинский;176450;81530;94920;46,2;53,8
  Промышленный;116689;52397;64292;44,9;55,1
  Центральный;98084;45507;52577;46,4;53,6
Сельское население;15545;7288;8257;46,9;53,1
село Краснохолм;5806;2707;3099;46,6;53,4
прочие сельские населенные пункты;9739;4581;5158;47;53
г. Абдулино;20173;9306;10867;46,1;53,9
г. Бугуруслан с подчинёнными его администрации населёнными пунктами;50226;22829;27397;45,5;54,5
Городское население - г. Бугуруслан;49741;22584;27157;45,4;54,6
Сельское население;485;245;240;50,5;49,5
г. Бузулук;82904;37576;45328;45,3;54,7
г. Гай с подчинёнными его администрации населёнными пунктами;38925;17729;21196;45,5;54,5
Городское население - г. Гай;38301;17429;20872;45,5;54,5
Сельское население;624;300;324;48,1;51,9
г. Кувандык;26169;12029;14140;46;54
г. Медногорск с подчинёнными его администрации населёнными пунктами;29120;12938;16182;44,4;55,6
Городское население - г. Медногорск;27292;12069;15223;44,2;55,8
Сельское население;1828;869;959;47,5;52,5
г. Новотроицк с подчинёнными его администрации населёнными пунктами;105367;50421;54946;47,9;52,1
Городское население - г. Новотроицк;98173;46866;51307;47,7;52,3
Сельское население;7194;3555;3639;49,4;50,6
г. Орск с подчинёнными его администрации населёнными пунктами;244004;109087;134917;44,7;55,3
Городское население - г. Орск;239800;107141;132659;44,7;55,3
  внутригородские районы;;;;;
  Ленинский;74989;32982;42007;44;56
  Октябрьский;93033;41250;51783;44,3;55,7
  Советский;71778;32909;38869;45,8;54,2
Сельское население;4204;1946;2258;46,3;53,7
г. Соль-Илецк;28377;13690;14687;48,2;51,8
г. Сорочинск;29249;13554;15695;46,3;53,7
г. Ясный;17363;7936;9427;45,7;54,3
пгт Комаровский;8064;4785;3279;59,3;40,7
Абдулинский район - сельское население;10373;4853;5520;46,8;53,2
Адамовский район - сельское население;26079;12262;13817;47;53
посёлок Адамовка (рц);7733;3532;4201;45,7;54,3
прочие сельские населенные пункты;18346;8730;9616;47,6;52,4
Акбулакский район - сельское население;25606;12741;12865;49,8;50,2
посёлок Акбулак (рц);13918;7119;6799;51,1;48,9
прочие сельские населенные пункты;11688;5622;6066;48,1;51,9
Александровский район - сельское население;15702;7414;8288;47,2;52,8
село Александровка (рц);3988;1836;2152;46;54
прочие сельские населенные пункты;11714;5578;6136;47,6;52,4
Асекеевский район - сельское население;21050;10006;11044;47,5;52,5
село Асекеево (рц);5201;2463;2738;47,4;52,6
прочие сельские населенные пункты;15849;7543;8306;47,6;52,4
Беляевский район - сельское население;17074;8197;8877;48;52
село Беляевка (рц);4989;2316;2673;46,4;53,6
прочие сельские населенные пункты;12085;5881;6204;48,7;51,3
Бугурусланский район - сельское население;19680;9405;10275;47,8;52,2
Бузулукский район - сельское население;31071;14579;16492;46,9;53,1
посёлок Колтубановский;3450;1612;1838;46,7;53,3
посёлок Красногвардеец;3608;1657;1951;45,9;54,1
прочие сельские населенные пункты;24013;11310;12703;47,1;52,9
Гайский район - сельское население;10331;4909;5422;47,5;52,5
Грачёвский район - сельское население;13495;6293;7202;46,6;53,4
село Грачёвка (рц);6122;2853;3269;46,6;53,4
прочие сельские населенные пункты;7373;3440;3933;46,7;53,3
Домбаровский район - сельское население;15994;7561;8433;47,3;52,7
посёлок Домбаровский (рц);8614;4019;4595;46,7;53,3
прочие сельские населенные пункты;7380;3542;3838;48;52
Илекский район - сельское население;25150;12093;13057;48,1;51,9
село Илек (рц);9760;4506;5254;46,2;53,8
прочие сельские населенные пункты;15390;7587;7803;49,3;50,7
Кваркенский район - сельское население;18655;8836;9819;47,4;52,6
село Кваркено (рц);3923;1841;2082;46,9;53,1
прочие сельские населенные пункты;14732;6995;7737;47,5;52,5
Красногвардейский район - сельское население;21097;10099;10998;47,9;52,1
село Плешаново (рц);3486;1620;1866;46,5;53,5
прочие сельские населенные пункты;17611;8479;9132;48,1;51,9
Кувандыкский район - сельское население;19545;9426;10119;48,2;51,8
Курманаевский район - сельское население;17705;8304;9401;46,9;53,1
село Курманаевка (рц);4313;2038;2275;47,3;52,7
прочие сельские населенные пункты;13392;6266;7126;46,8;53,2
Матвеевский район - сельское население;12267;5655;6612;46,1;53,9
село Матвеевка (рц);3044;1360;1684;44,7;55,3
прочие сельские населенные пункты;9223;4295;4928;46,6;53,4
Новоорский район - сельское население;29428;13671;15757;46,5;53,5
посёлок Новоорск (рц);11295;5295;6000;46,9;53,1
посёлок Энергетик;7907;3591;4316;45,4;54,6
прочие сельские населенные пункты;10226;4785;5441;46,8;53,2
Новосергиевский район - сельское население;36322;16885;19437;46,5;53,5
посёлок Новосергиевка (рц);13737;6263;7474;45,6;54,4
прочие сельские населенные пункты;22585;10622;11963;47;53
