region;total_population_2020;male_population_0;male_percent_0;total_population_2010;male_population_1;male_percent_1;total_population_2002;male_population_2;male_percent_2
Регион;Популяция_2020;Мужчины_0;Мужчины_процент_0;Популяция_2010;Мужчины_1;Мужчины_процент_1;Популяция_2002;Мужчины_2;Мужчины_процент_2
поповское поселение;2650.0;1274.0;48.1;;;;;;
подколодновское поселение;2309.0;1091.0;47.2;;;;;;
тройнянское поселение;350.0;167.0;47.7;;;;;;
русановское поселение;1328.0;616.0;46.4;;;;;;
никольское;817.0;387.0;47.4;5517.0;2588.0;46.9;5383.0;2523.0;46.9
листопадовское поселение;2207.0;1006.0;45.6;;;;;;
село воронцовка;4970.0;2319.0;46.7;5166.0;2376.0;46.0;5138.0;2370.0;46.1
лизиновское поселение;1823.0;852.0;46.7;;;;;;
коротоякское поселение;3591.0;1617.0;45.0;;;;;;
рабочий поселок ольховатка;3276.0;1450.0;44.3;3806.0;1673.0;44.0;4424.0;1945.0;44.0
медовское поселение;1074.0;526.0;49.0;;;;;;
бутурлиновский район;44139.0;20559.0;46.6;52575.0;24001.0;45.7;57204.0;26045.0;45.5
журавское поселение;1870.0;882.0;47.2;;;;;;
рабочий поселок новохоперский;7809.0;3501.0;44.8;6849.0;3026.0;44.2;7640.0;3372.0;44.1
дзержинское поселение;1770.0;834.0;47.1;;;;;;
село гремячье;3441.0;1610.0;46.8;3373.0;1531.0;45.4;3430.0;1533.0;44.7
колодеевское поселение;303.0;161.0;53.1;;;;;;
заболотовка;;;;3156.0;1424.0;45.1;3354.0;1526.0;45.5
ростошинское поселение;1090.0;511.0;46.9;;;;;;
верхняя тишанка;;;;3250.0;1474.0;45.4;3653.0;1597.0;43.7
поселок отрадное;9709.0;4603.0;47.4;4581.0;2145.0;46.8;3260.0;1565.0;48.0
сухогаевское поселение;567.0;286.0;50.4;;;;;;
айдаровское поселение;5442.0;2528.0;46.5;;;;;;
кондрашкинское поселение;658.0;301.0;45.7;;;;;;
стадницкое поселение;615.0;314.0;51.1;;;;;;
масловка;;;;8447.0;3867.0;45.8;7623.0;3517.0;46.1
